EarthquakeId,EarthquakeTime,EarthquakeLatitude,EarthquakeLongitude,EarthquakeDepth,EarthquakeMagnitude,EarthquakeMagnitudeType,Network,DataProvider,StationCode,StationID,StationDescription,StationLatitude,StationLongitude,StationElevation,SamplingRate,BackAzimuth,EpicentralDistance,HypocentralDistance,SourceFile,RuptureDistance,RuptureDistanceVar,JoynerBooreDistance,JoynerBooreDistanceVar,GC2_rx,GC2_ry,GC2_ry0,GC2_U,GC2_T,H1Lowpass,H1Highpass,H2Lowpass,H2Highpass,DURATION5-75,DURATION5-95,PGA,PGV,SA(0.010),SA(0.020),SA(0.030),SA(0.050),SA(0.075),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.400),SA(0.500),SA(0.750),SA(1.000),SA(1.500),SA(2.000),SA(3.000),SA(4.000),SA(5.000),SA(7.500),SA(10.000),SORTED_DURATION
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,BK,NCEDC,BRIB,BK.BRIB.01.HNE,"Briones Reserve, Orinda, CA, USA",37.91932,-122.15269,237.00,100,76.13,8.66,16.63,BK.BRIB.01.HNZ__20191015T053312Z__20191015T054042Z.mseed,15.35,0.34,7.73,0.43,nan,nan,nan,nan,nan,37.50000,0.07932,37.50000,0.07932,1.95000000E+00,6.53000000E+00,2.95996390E+00,2.20004750E+00,2.97807230E+00,2.99208960E+00,2.99903520E+00,3.45291970E+00,4.02835970E+00,5.02856320E+00,9.18989220E+00,6.44864580E+00,3.35249040E+00,3.42835080E+00,4.28565720E+00,5.35662080E+00,3.46723330E+00,2.16757320E+00,8.65145490E-01,3.96194420E-01,1.97474090E-01,1.18612000E-01,7.88963090E-02,3.89715640E-02,2.45481950E-02,1.95000000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE,NCEDC,58360,CE.58360..HNE,Walnut Creek - Civic & Broadway,37.90360,-122.06030,40.00,200,4.34,3.83,14.53,CE.58360..HNE__20191015T053312Z__20191015T054042Z.mseed,13.43,0.29,2.95,0.38,nan,nan,nan,nan,nan,75.00000,0.13248,75.00000,0.13248,1.61000000E+00,5.94500000E+00,5.70869310E+00,1.94088640E+00,5.80686700E+00,5.89618700E+00,6.08886280E+00,8.59655130E+00,1.95664510E+01,1.63503810E+01,1.12029720E+01,1.77964130E+01,8.33696910E+00,8.43265920E+00,3.99723530E+00,3.07856710E+00,1.97589160E+00,2.06691920E+00,6.16305190E-01,3.56511380E-01,1.23413410E-01,7.36483120E-02,5.09207330E-02,2.73676920E-02,1.81770490E-02,1.16000000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE,NCEDC,58369,CE.58369..HNE,Walnut Creek - Walnut & Cheyenne,37.91470,-122.01680,52.00,200,306.21,4.38,14.69,CE.58369..HNZ__20191015T053312Z__20191015T054042Z.mseed,13.57,0.29,3.49,0.40,nan,nan,nan,nan,nan,39.41090,0.14768,39.41090,0.14768,7.45000000E-01,5.91000000E+00,7.45170090E+00,2.99743840E+00,7.49052550E+00,7.60826120E+00,7.88702170E+00,8.57098350E+00,1.29570140E+01,1.85769740E+01,1.70511230E+01,3.83613390E+01,1.76145990E+01,7.86744500E+00,4.57896100E+00,5.19296340E+00,4.43118510E+00,2.13256290E+00,7.15254590E-01,3.55517350E-01,1.43405180E-01,7.87874760E-02,5.18644490E-02,2.86350100E-02,2.04930600E-02,7.45000000E-01
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE,NCEDC,58442,CE.58442..HNE,Moraga - Rheem & Moraga,37.85630,-122.12410,286.00,200,33.04,10.82,17.90,CE.58442..HNN__20191015T053312Z__20191015T054042Z.mseed,16.62,0.36,9.88,0.43,nan,nan,nan,nan,nan,46.00938,0.23066,46.00938,0.23066,3.36500000E+00,8.58000000E+00,2.05033820E+00,5.97442850E-01,2.06826390E+00,2.09137170E+00,2.15643160E+00,2.35170700E+00,2.68721570E+00,2.76571320E+00,5.37444810E+00,5.43971270E+00,4.31940920E+00,2.27801950E+00,1.59023340E+00,7.61099560E-01,7.48505230E-01,6.57853510E-01,2.22389620E-01,9.43178850E-02,3.41944950E-02,1.74803520E-02,1.33543700E-02,7.90122180E-03,5.29881440E-03,2.64500000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC,IRIS-DMC,C010,NC.C010.01.HNE,Sunflower Ct Concord,37.94400,-122.00993,51.00,200,260.86,4.19,14.63,NC.C010.01.HNZ__20191015T053312Z__20191015T054042Z.mseed,13.52,0.29,3.30,0.39,nan,nan,nan,nan,nan,51.76325,0.21671,51.76325,0.21671,1.98000000E+00,6.16500000E+00,4.56391690E+00,9.99377030E-01,4.72819110E+00,5.06135040E+00,5.12580460E+00,8.49142100E+00,1.74223190E+01,1.42204230E+01,6.30601890E+00,8.38277140E+00,3.87159580E+00,4.61438450E+00,2.27775970E+00,2.22356920E+00,1.21832070E+00,6.48079660E-01,3.57885470E-01,2.18635140E-01,7.79999870E-02,4.47363290E-02,2.80893770E-02,1.21180370E-02,7.26095770E-03,1.97500000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC,IRIS-DMC,C018,NC.C018.01.HNE,Christie Dr Martinez,37.97930,-122.11738,90.00,200,130.80,7.01,15.71,NC.C018.01.HNE__20191015T053312Z__20191015T054042Z.mseed,14.57,0.32,6.09,0.42,nan,nan,nan,nan,nan,75.00000,0.23227,75.00000,0.23227,2.65500000E+00,4.64000000E+00,7.73124000E+00,3.01676240E+00,7.78044290E+00,7.92495090E+00,8.01168440E+00,9.41378680E+00,9.79360110E+00,1.07063220E+01,1.93650550E+01,2.68588620E+01,2.67740160E+01,2.97120060E+01,1.17734330E+01,8.27214520E+00,2.85926030E+00,1.12353090E+00,5.05925620E-01,3.31505590E-01,1.34892010E-01,7.62628950E-02,5.45948380E-02,3.02790690E-02,2.12401050E-02,2.23500000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC,NCEDC,CRH,NC.CRH..HNE,Round Hill Res,37.85884,-121.99264,259.00,100,327.23,10.45,17.66,NC.CRH..HNZ__20191015T053312Z__20191015T054042Z.mseed,16.40,0.36,9.52,0.43,nan,nan,nan,nan,nan,37.50000,0.12023,37.50000,0.12023,1.43000000E+00,5.81000000E+00,6.87602170E+00,2.46790330E+00,6.91194880E+00,6.96055720E+00,7.04917900E+00,7.27457190E+00,8.23176150E+00,9.63799380E+00,1.60948840E+01,2.27514400E+01,2.55331040E+01,1.97824450E+01,6.20342150E+00,3.46673880E+00,1.86785050E+00,1.87418150E+00,5.55225200E-01,2.41772810E-01,9.51357110E-02,5.38961420E-02,3.74740610E-02,2.18586050E-02,1.56489600E-02,1.05000000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC,NCEDC,CTA,NC.CTA..HNE,Taylor,38.02691,-122.01599,152.00,100,200.07,10.51,17.61,NC.CTA..HNE__20191015T053312Z__20191015T054042Z.mseed,16.44,0.36,9.57,0.43,nan,nan,nan,nan,nan,36.60214,0.18223,36.60214,0.18223,3.29000000E+00,1.07400000E+01,4.42282680E+00,1.53195670E+00,4.49028760E+00,4.53416300E+00,4.58905600E+00,4.97066970E+00,5.63772840E+00,7.81343290E+00,1.74138110E+01,1.11692360E+01,7.19750560E+00,7.65425340E+00,4.80492670E+00,4.40866190E+00,3.36207370E+00,2.11658300E+00,6.61644100E-01,3.00988400E-01,1.09308720E-01,6.32002900E-02,3.95628620E-02,1.98270620E-02,1.30535380E-02,3.29000000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NP,NCEDC,1844,NP.1844..HNE,Contra Costa FS 4,37.88520,-122.03217,62.00,200,339.57,6.25,15.37,NP.1844..HNE__20191015T053312Z__20191015T054042Z.mseed,14.23,0.31,5.34,0.42,nan,nan,nan,nan,nan,75.00000,0.16424,75.00000,0.16424,3.65000000E-01,3.10500000E+00,1.18633150E+01,3.68191330E+00,1.21169100E+01,1.22585940E+01,1.24388680E+01,1.26546420E+01,1.50873840E+01,1.37105180E+01,2.64097550E+01,4.19483880E+01,3.67306560E+01,2.06340850E+01,5.99734320E+00,3.86018930E+00,2.80499620E+00,1.25281020E+00,5.23622330E-01,2.69083170E-01,1.49098780E-01,9.72888950E-02,6.99847590E-02,3.97655390E-02,2.77364150E-02,3.60000000E-01
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NP,NCEDC,1847,NP.1847.10.HNE,Contra C FS14 Martinez,38.01286,-122.13458,6.00,100,140.61,10.75,17.63,NP.1847.10.HNZ__20191015T053312Z__20191015T054042Z.mseed,16.58,0.36,9.81,0.43,nan,nan,nan,nan,nan,37.50000,0.11613,37.50000,0.11613,2.42000000E+00,6.54000000E+00,1.49422310E+01,5.83504140E+00,1.54304610E+01,1.58461990E+01,1.57979530E+01,1.94838380E+01,3.02223550E+01,4.12487080E+01,5.44751140E+01,3.44549690E+01,3.16479710E+01,1.92035760E+01,1.52773960E+01,2.11787780E+01,4.28206290E+00,2.99396530E+00,1.32286540E+00,7.27594590E-01,3.40621610E-01,1.95681290E-01,1.28586750E-01,6.95150790E-02,4.87077940E-02,2.34000000E+00
