EarthquakeId,EarthquakeTime,EarthquakeLatitude,EarthquakeLongitude,EarthquakeDepth,EarthquakeMagnitude,EarthquakeMagnitudeType,Network,DataProvider,StationCode,StationID,StationDescription,StationLatitude,StationLongitude,StationElevation,SamplingRate,BackAzimuth,EpicentralDistance,HypocentralDistance,SourceFile,RuptureDistance,RuptureDistanceVar,JoynerBooreDistance,JoynerBooreDistanceVar,GC2_rx,GC2_ry,GC2_ry0,GC2_U,GC2_T,ZLowpass,ZHighpass,DURATION5-75,DURATION5-95,PGA,PGV,SA(0.010),SA(0.020),SA(0.030),SA(0.050),SA(0.075),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.400),SA(0.500),SA(0.750),SA(1.000),SA(1.500),SA(2.000),SA(3.000),SA(4.000),SA(5.000),SA(7.500),SA(10.000),SORTED_DURATION
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,BK,NCEDC,BRIB,BK.BRIB.01.HNZ,"Briones Reserve, Orinda, CA, USA",37.91932,-122.15269,237.00,100,76.13,8.66,16.63,BK.BRIB.01.HNZ__20191015T053312Z__20191015T054042Z.mseed,15.35,0.34,7.73,0.43,nan,nan,nan,nan,nan,37.50000,0.12023,2.84000000E+00,8.38000000E+00,9.93937640E-01,8.15436620E-01,1.02412010E+00,1.05589790E+00,1.45129070E+00,2.83129930E+00,4.32036690E+00,2.55852980E+00,3.95552940E+00,2.21278170E+00,1.07267810E+00,1.70117230E+00,2.07781630E+00,2.34670650E+00,1.53165690E+00,9.48168590E-01,3.38471530E-01,1.61136240E-01,5.85485650E-02,3.06170560E-02,2.02229620E-02,1.04432860E-02,6.92460750E-03,2.49000000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE,NCEDC,58360,CE.58360..HNZ,Walnut Creek - Civic & Broadway,37.90360,-122.06030,40.00,200,4.34,3.83,14.53,CE.58360..HNE__20191015T053312Z__20191015T054042Z.mseed,13.43,0.29,2.95,0.38,nan,nan,nan,nan,nan,75.00000,0.17003,2.47500000E+00,7.28000000E+00,3.35668610E+00,1.04381640E+00,3.37597020E+00,3.74076190E+00,6.14635460E+00,8.76852290E+00,9.79019330E+00,7.95843860E+00,8.26792920E+00,9.11941000E+00,6.54223160E+00,3.71163250E+00,1.66855510E+00,1.65945080E+00,1.02007980E+00,7.89060170E-01,2.64604130E-01,1.22638450E-01,4.25705200E-02,3.43844040E-02,2.57324160E-02,1.33143100E-02,8.73669560E-03,2.48000000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE,NCEDC,58369,CE.58369..HNZ,Walnut Creek - Walnut & Cheyenne,37.91470,-122.01680,52.00,200,306.21,4.38,14.69,CE.58369..HNZ__20191015T053312Z__20191015T054042Z.mseed,13.57,0.29,3.49,0.40,nan,nan,nan,nan,nan,58.23668,0.12332,3.47000000E+00,8.44500000E+00,3.31917010E+00,7.29041560E-01,3.35592870E+00,3.69473900E+00,3.88613330E+00,5.56736030E+00,1.14891960E+01,1.46341340E+01,5.08469660E+00,4.02505090E+00,2.32599380E+00,1.60201480E+00,1.08540740E+00,1.60542370E+00,1.76308780E+00,1.33988240E+00,2.69516850E-01,1.68108010E-01,6.17912580E-02,3.37504580E-02,2.16646120E-02,1.04961710E-02,6.45173110E-03,3.17500000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE,NCEDC,58442,CE.58442..HNZ,Moraga - Rheem & Moraga,37.85630,-122.12410,286.00,200,33.04,10.82,17.90,CE.58442..HNN__20191015T053312Z__20191015T054042Z.mseed,16.62,0.36,9.88,0.43,nan,nan,nan,nan,nan,54.33674,0.03867,2.74000000E+00,6.64500000E+00,1.64864650E+00,4.50453480E-01,1.84799840E+00,2.53449430E+00,5.68789440E+00,3.44165930E+00,5.49382350E+00,5.10115850E+00,3.34496070E+00,1.62472490E+00,1.62947550E+00,1.09191530E+00,5.35053000E-01,4.69583620E-01,4.39268230E-01,2.94236890E-01,1.50301370E-01,4.85220170E-02,2.03983910E-02,1.20992570E-02,8.21653830E-03,5.08067890E-03,3.68805760E-03,2.40500000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC,IRIS-DMC,C010,NC.C010.01.HNZ,Sunflower Ct Concord,37.94400,-122.00993,51.00,200,260.86,4.19,14.63,NC.C010.01.HNZ__20191015T053312Z__20191015T054042Z.mseed,13.52,0.29,3.30,0.39,nan,nan,nan,nan,nan,75.00000,0.29604,2.73500000E+00,6.69000000E+00,2.30475610E+00,3.99676990E-01,2.56223060E+00,4.00687130E+00,4.38003460E+00,7.42631820E+00,6.28724850E+00,6.06717290E+00,3.52957670E+00,2.70124000E+00,1.90931520E+00,2.12401890E+00,1.87213720E+00,1.53113930E+00,4.67007310E-01,3.07277320E-01,9.91233760E-02,4.52818010E-02,1.73170440E-02,1.03067710E-02,6.44357440E-03,3.37511530E-03,2.47051810E-03,2.49500000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC,IRIS-DMC,C018,NC.C018.01.HNZ,Christie Dr Martinez,37.97930,-122.11738,90.00,200,130.80,7.01,15.71,NC.C018.01.HNE__20191015T053312Z__20191015T054042Z.mseed,14.57,0.32,6.09,0.42,nan,nan,nan,nan,nan,75.00000,0.30648,4.28000000E+00,7.34000000E+00,4.11830810E+00,8.95169120E-01,4.22918920E+00,4.33463820E+00,6.35786810E+00,9.59171910E+00,1.07630570E+01,8.82261500E+00,5.78083420E+00,5.34070490E+00,6.03599050E+00,4.72591450E+00,3.92647970E+00,2.54982500E+00,1.62681790E+00,1.19338680E+00,2.48358790E-01,1.24106530E-01,5.12720020E-02,2.97831870E-02,1.99161290E-02,1.04194420E-02,7.15381540E-03,3.93500000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC,NCEDC,CRH,NC.CRH..HNZ,Round Hill Res,37.85884,-121.99264,259.00,100,327.23,10.45,17.66,NC.CRH..HNZ__20191015T053312Z__20191015T054042Z.mseed,16.40,0.36,9.52,0.43,nan,nan,nan,nan,nan,37.50000,0.14298,3.20000000E+00,6.12000000E+00,3.86502480E+00,1.11634370E+00,3.93028000E+00,3.97706170E+00,4.11701180E+00,4.74102090E+00,5.33823870E+00,6.62182080E+00,8.26681080E+00,1.23004310E+01,9.91156800E+00,6.22752730E+00,2.05318760E+00,9.58407000E-01,9.14481250E-01,3.99976590E-01,1.78393960E-01,9.50082710E-02,3.43333400E-02,2.70704110E-02,1.80540190E-02,9.50814600E-03,6.99141620E-03,2.16000000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC,NCEDC,CTA,NC.CTA..HNZ,Taylor,38.02691,-122.01599,152.00,100,200.07,10.51,17.61,NC.CTA..HNE__20191015T053312Z__20191015T054042Z.mseed,16.44,0.36,9.57,0.43,nan,nan,nan,nan,nan,37.50000,0.15864,6.13000000E+00,1.14200000E+01,1.85133050E+00,7.43562540E-01,1.86596620E+00,1.91535610E+00,2.15384050E+00,4.14042520E+00,4.34880830E+00,6.24544550E+00,7.14899930E+00,6.87925560E+00,2.98637660E+00,3.76147910E+00,2.47601180E+00,2.85063960E+00,1.39541980E+00,7.93987380E-01,3.05822170E-01,1.29991970E-01,3.92022230E-02,2.50763400E-02,1.93865030E-02,9.90836430E-03,5.78917010E-03,5.86000000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NP,NCEDC,1844,NP.1844..HNZ,Contra Costa FS 4,37.88520,-122.03217,62.00,200,339.57,6.25,15.37,NP.1844..HNE__20191015T053312Z__20191015T054042Z.mseed,14.23,0.31,5.34,0.42,nan,nan,nan,nan,nan,75.00000,0.20220,3.24000000E+00,6.87500000E+00,2.83012120E+00,7.50776810E-01,2.97499590E+00,3.55394990E+00,6.09969840E+00,6.45428130E+00,4.88270950E+00,3.53509760E+00,4.34683850E+00,7.39051400E+00,7.35217690E+00,4.12535440E+00,1.76640100E+00,1.38259680E+00,6.65596590E-01,5.44966150E-01,3.36535380E-01,1.34062850E-01,4.91372350E-02,2.19169000E-02,1.55540490E-02,8.20977880E-03,6.05606300E-03,2.82000000E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NP,NCEDC,1847,NP.1847.10.HNZ,Contra C FS14 Martinez,38.01286,-122.13458,6.00,100,140.61,10.75,17.63,NP.1847.10.HNZ__20191015T053312Z__20191015T054042Z.mseed,16.58,0.36,9.81,0.43,nan,nan,nan,nan,nan,37.50000,0.15324,6.16000000E+00,7.75000000E+00,4.81309740E+00,1.54646590E+00,4.90607390E+00,5.11720400E+00,1.01022330E+01,1.39433380E+01,1.07622030E+01,8.93071900E+00,9.96405080E+00,1.60283880E+01,1.71038690E+01,1.44915490E+01,6.28804470E+00,5.73467100E+00,2.26275100E+00,8.72294390E-01,2.84203310E-01,1.38434680E-01,7.85510930E-02,4.32932020E-02,3.20040940E-02,1.78422180E-02,1.16579350E-02,4.50000000E+00
